timestamp_ms,bytes_read,bytes_written
7667671,5866778095616,1125522558976
7673579,5871435902976,1126324682752
7679442,5876870221824,1127153782784
7685285,5881275228160,1128951373824
7691123,5886891819008,1130642112512
7696953,5892302614528,1131871555584
7702799,5898224066560,1132430921728
7708635,5903333892096,1133405347840
7714499,5908870086656,1133405347840
7720334,5914185084928,1133405347840
7726201,5919081259008,1134710308864
7732080,5924820307968,1134710308864
7737957,5930122506240,1134710308864
7743793,5934365745152,1136188403712
7749643,5938768998400,1136923820032
7755490,5943784910848,1137677234176
7761320,5948438196224,1139002982400
7767258,5953788751872,1140798488576
7773040,5959311605760,1142145658880
7778937,5964469047296,1142745808896
7784851,5965992321024,1143886352384
7790750,5971507355648,1144253456384
7796532,5976696418304,1144253456384
7802355,5981684035584,1145213882368
7808195,5987349352448,1146105143296
7814032,5992749236224,1146105143296
7819850,5997035995136,1147288494080
7825765,6001386950656,1148144881664
7831606,6006420422656,1148898545664
7837489,6011588268032,1149749792768
7843369,6016343252992,1151511519232
7849295,6021956849664,1153468649472
7855152,6027541786624,1154611687424
7861007,6032790540288,1154989699072
7866832,6037587927040,1156278374400
7872700,6043108024320,1156318064640
7878515,6048848842752,1156318064640
7884332,6054879207424,1156318064640
7890204,6059934924800,1157620334592
7896107,6065881894912,1157620334592
7902030,6071148826624,1157620334592
7907854,6075145990144,1158335025152
7913756,6080199389184,1159531704320
7919616,6084948062208,1160337207296
7925474,6089917583360,1161086881792
7931334,6094701641728,1163527241728
7937246,6100288266240,1165435187200
7943043,6105581727744,1166609223680
7949008,6107839614976,1167111352320
7954831,6112293011456,1168311861248
7960706,6117323100160,1168531746816
7966603,6122397233152,1168531746816
7972499,6126826037248,1169799761920
7978361,6132343156736,1170315120640
7984230,6137441980416,1170435096576
7990073,6142291353600,1170435096576
7995936,6146017853440,1172083945472
8001821,6151075921920,1173361860608
8007726,6155847176192,1174161453056
8013611,6160315183104,1174955917312
8019481,6164844716032,1177129893888
8025300,6170257133568,1179084914688
8031209,6175418630144,1180469465088
8037103,6180591046656,1181488750592
8043010,6185496395776,1182963957760
8048908,6190566948864,1183169548288
8054774,6195651137536,1183169597440
8060711,6200189825024,1184505470976
8066554,6205536800768,1184505470976
8072434,6210491015168,1184505470976
8078288,6214461153280,1186028273664
8084197,6219350638592,1186761650176
8090062,6224177922048,1187516833792
8095905,6228637093888,1189163323392
8101804,6234147098624,1191418372096
8107666,6239144591360,1192860114944
8113500,6243765878784,1193654722560
8119346,6248051458048,1193654722560
8125182,6251914432512,1194469638144
8131063,6256926158848,1194620264448
8136921,6261998604288,1194620264448
8142764,6266564079616,1194826555392
8148642,6271135330304,1196039979008
8154570,6275170422784,1196039979008
8160464,6279391375360,1196039979008
8166302,6283794313216,1196039979008
8172121,6288682319872,1196039979008
8178004,6293541314560,1196039979008
8183850,6297776091136,1197572620288
8189731,6302856417280,1198358810624
8195602,6307891605504,1199103905792
8201469,6313077915648,1199882690560
8207331,6317471408128,1201429393408
8213214,6322912149504,1203361263616
8219066,6328079425536,1204328284160
8224935,6333145075712,1204398153728
8230798,6337968128000,1205305610240
8236701,6341483200512,1205384118272
8242569,6343448645632,1206442647552
8248542,6344741965824,1206881574912
8254513,6346502447104,1207260594176
8260473,6348025270272,1207260594176
8266443,6349473308672,1207260594176
8272370,6350967975936,1207260594176
8278334,6352762871808,1207260594176
8284246,6354552434688,1207260594176
8290158,6356183404544,1207260594176
8296106,6357777756160,1207260594176
8302023,6359327903744,1207260594176
8307918,6360917291008,1207260594176
8313864,6362559336448,1207260594176
8319843,6364154982400,1207260594176
8325779,6366038745088,1207260594176
8331682,6368103297024,1207260594176
8337585,6370586398720,1207260594176
8343486,6372719267840,1207260594176
8349398,6374614069248,1207260594176
8355261,6377110544384,1207260594176
8361177,6379311689728,1207260594176
8367203,6380021166080,1207261700096
8373158,6380869079040,1207261700096
8379107,6381689561088,1207261700096
8385095,6381958938624,1207261700096
8391054,6382385942528,1207261700096
8397007,6383108943872,1207261700096
8402959,6383943913472,1207261700096
8408896,6384689328128,1207261700096
8414817,6385132343296,1207261700096
8420765,6385625792512,1207261700096
8426707,6386203627520,1207261700096
8432674,6387026182144,1207261700096
8438586,6387976032256,1207261700096
8444506,6388958334976,1207261700096
8450442,6389879885824,1207261700096
8456362,6390362537984,1207261700096
8462312,6390970937344,1207261700096
8468269,6391578021888,1207261700096
8474232,6392227590144,1207261700096
8480171,6392850034688,1207261700096
8486134,6393607540736,1207261700096
8492031,6394305699840,1207261700096
8497985,6394977046528,1207261700096
8503916,6395672018944,1207261700096
8509857,6396233146368,1207261700096
8515751,6396296978432,1207261700096
8521677,6396404097024,1207261700096
8527581,6396535115776,1207261700096
8533547,6396650872832,1207261700096
8539443,6396767973376,1207261700096
8545344,6396872355840,1207261700096
8551286,6398228025344,1207264706560
8557205,6400229244928,1207308435456
8563119,6402072227840,1207308435456
8569046,6404077318144,1207308435456
8574982,6406011432960,1207308435456
8580873,6407932530688,1207308435456
8586796,6409828347904,1207308435456
8592732,6411685756928,1207308435456
8598681,6414006054912,1207308435456
8604556,6415897083904,1207308435456
